AAL,Aalborg Airport,9.849243164,57.09275891
ABQ,Albuquerque International Sunport,-106.609001,35.040199
ABV,Nnamdi Azikiwe International Airport,7.263169765,9.006790161
ABZ,Aberdeen Dyce Airport,-2.197779894,57.20190048
ACA,General Juan N Alvarez International Airport,-99.7539978,16.75709915
ACC,Kotoka International Airport,-0.166786,5.6051898
ADA,Adana Airport,35.28039932,36.98220062
ADB,Adnan Menderes International Airport,27.15699959,38.29240036
ADD,Addis Ababa Bole International Airport,38.79930115,8.977890015
ADL,Adelaide International Airport,138.531006,-34.945
ADW,Joint Base Andrews,-76.866997,38.810799
AER,Sochi International Airport,39.9566,43.449902
AFW,Fort Worth Alliance Airport,-97.31880188,32.98759842
AGP,Malaga Costa del Sol Airport,-4.499110222,36.67490005
AGS,Augusta Regional At Bush Field,-81.96450043,33.36989975
AKL,Auckland International Airport,174.7920074,-37.0080986
AKT,RAF Akrotiri,32.9879,34.590401
ALA,Almaty Airport,77.04049683,43.35210037
ALC,Alicante International Airport,-0.558156013,38.28219986
ALG,Houari Boumediene Airport,3.215409994,36.69100189
ALP,Aleppo International Airport,37.22439957,36.18069839
AMA,Rick Husband Amarillo International Airport,-101.706001,35.219398
AMM,Queen Alia International Airport,35.99319839,31.72260094
AMS,Amsterdam Airport Schiphol,4.76389,52.308601
ANC,Ted Stevens Anchorage International Airport,-149.9960022,61.17440033
ARN,Stockholm-Arlanda Airport,17.91860008,59.65190125
ASB,Ashgabat International Airport,58.361,37.986801
ATH,Eleftherios Venizelos International Airport,23.94449997,37.93640137
ATL,Hartsfield Jackson Atlanta International Airport,-84.428101,33.6367
ATQ,Sri Guru Ram Dass Jee International Airport,74.79730225,31.70960045
AUH,Abu Dhabi International Airport,54.65110016,24.43300056
AUS,Austin Bergstrom International Airport,-97.66989899,30.19449997
AVL,Asheville Regional Airport,-82.54180145,35.43619919
AYT,Antalya International Airport,30.800501,36.898701
BAB,Beale Air Force Base,-121.4369965,39.13610077
BAD,Barksdale Air Force Base,-93.66269684,32.50180054
BAH,Bahrain International Airport,50.63359833,26.27079964
BCN,Barcelona International Airport,2.07846,41.2971
BDL,Bradley International Airport,-72.68319702,41.93889999
BEG,Belgrade Nikola Tesla Airport,20.3090992,44.81840134
BEL,Belem/Val de Cans-Julio Cezar Ribeiro International Airport ,-48.47629929,-1.37925005
BEY,Beirut Rafic Hariri International Airport,35.48839951,33.82089996
BFI,Boeing Field King County International Airport,-122.302002,47.52999878
BFS,Belfast International Airport,-6.215829849,54.65750122
BGO,Bergen Airport Flesland,5.218140125,60.29339981
BGR,Bangor International Airport,-68.82810211,44.80739975
BGW,Baghdad International Airport,44.23460007,33.26250076
BGY,Il Caravaggio International Airport,9.70417,45.673901
BHD,George Best Belfast City Airport,-5.872499943,54.61809921
BHM,Birmingham-Shuttlesworth International Airport,-86.75350189,33.56290054
BHX,Birmingham International Airport,-1.748029947,52.45389938
BIL,Billings Logan International Airport,-108.5429993,45.80770111
BJV,Milas Bodrum International Airport,27.66430092,37.25059891
BKK,Suvarnabhumi Airport,100.7470016,13.68109989
BKO,Modibo Keita International Airport,-7.94994,12.5335
BLA,General Jose Antonio Anzoategui International Airport,-64.692222,10.111111
BLL,Billund Airport,9.151780128,55.74029922
BLQ,Bologna Guglielmo Marconi Airport,11.2887,44.5354
BLR,Kempegowda International Airport,77.706299,13.1979
BLV,Scott AFB/Midamerica Airport,-89.835197,38.5452
